,airline,avail_seat_km_per_week,incidents_85_99,fatal_accidents_85_99,fatalities_85_99,incidents_00_14,fatal_accidents_00_14,fatalities_00_14,trillion_avail_seat_km_85_99,trillion_avail_seat_km_00_14,trillion_avail_seat_km_incidents_85_99,trillion_avail_seat_km_fatal_accidents_85_99,trillion_avail_seat_km_fatalities_85_99,trillion_avail_seat_km_incidents_00_14,trillion_avail_seat_km_fatal_accidents_00_14,trillion_avail_seat_km_fatalities_00_14
0,Aer Lingus,320906734,2,0,0,0,0,0,0.23439944727742856,0.24214705271257145,8.532443327960824,0.0,0.0,0.0,0.0,0.0
1,Aeroflot*,1197672318,76,14,128,6,1,88,0.8748140802762858,0.9037293119537142,86.8756021576579,16.003400397463295,146.31680363395014,6.639156128541395,1.106526021423566,97.3742898852738
2,Aerolineas Argentinas,385803648,6,0,0,1,0,0,0.28180200746057144,0.2911164098194286,21.29154456374657,0.0,0.0,3.43505198013493,0.0,0.0
3,Aeromexico*,596871813,3,1,64,5,0,0,0.4359722256955714,0.45038241660942857,6.881172293059846,2.2937240976866153,146.79834225194338,11.101676743157578,0.0,0.0
4,Air Canada,1865253802,2,0,0,2,0,0,1.3624346699465715,1.4074672260234284,1.4679602949904607,0.0,0.0,1.4209922355710387,0.0,0.0
5,Air France,3004002661,14,4,79,6,2,337,2.194209372241857,2.2667345793431433,6.380430316773274,1.8229800905066498,36.003856787506336,2.646979516119036,0.882326505373012,148.6720161553525
6,Air India*,869253552,2,1,329,4,1,158,0.6349276301965714,0.6559138945234286,3.1499652950696237,1.5749826475348119,518.1692910389531,6.098361436460047,1.5245903591150118,240.88527674017186
7,Air New Zealand*,710174817,3,0,0,5,1,7,0.5187319770458572,0.5358776261991429,5.783333460730131,0.0,0.0,9.330488446520622,1.8660976893041246,13.062683825128872
8,Alaska Airlines*,965346773,5,0,0,5,1,88,0.7051168643355714,0.7284230935694286,7.091023138003483,0.0,0.0,6.864142617306287,1.3728285234612574,120.80891006459065
9,Alitalia,698012498,7,2,50,4,0,0,0.5098482717534286,0.5267002877765714,13.729574831991037,3.9227356662831534,98.06839165707883,7.594451897654587,0.0,0.0
10,All Nippon Airways,1841234177,3,1,1,7,0,0,1.3448900495715714,1.3893427032734285,2.2306656227813426,0.7435552075937808,0.7435552075937808,5.038353736272058,0.0,0.0
11,American*,5228357340,21,5,101,17,3,416,3.818941582774286,3.9451690671257142,5.498905794925636,1.3092632845061039,26.447118347023295,4.309067548373913,0.7604236850071612,105.44541765432635
12,Austrian Airlines,358239823,1,0,0,1,0,0,0.2616686021427143,0.2703175350122857,3.8216277834304284,0.0,0.0,3.699353058818588,0.0,0.0
13,Avianca,396922563,5,3,323,0,0,0,0.2899235806598571,0.2995064253951429,17.245923869387077,10.347554321632247,1114.0866819624052,0.0,0.0,0.0
14,British Airways*,3179760952,4,0,0,6,0,0,2.3225882496537142,2.399356764066286,1.7222165834156695,0.0,0.0,2.500670217059159,0.0,0.0
15,Cathay Pacific*,2582459303,0,0,0,2,0,0,1.8863020594627145,1.9486500054922857,0.0,0.0,0.0,1.0263515738398297,0.0,0.0
16,China Airlines,813216487,12,6,535,2,1,225,0.5939965568615714,0.6136299263334286,20.20213730430184,10.10106865215092,900.678621483457,3.2592934506151487,1.6296467253075744,366.6705131942042
17,Condor,417982610,2,1,16,0,0,0,0.3053064407042857,0.3153977351457143,6.550795310398197,3.2753976551990984,52.406362483185575,0.0,0.0,0.0
18,COPA,550491507,3,1,47,0,0,0,0.4020947250415714,0.4153851628534286,7.460928515512952,2.4869761718376506,116.88788007636958,0.0,0.0,0.0
19,Delta / Northwest*,6525658894,24,12,407,24,2,51,4.766527703574571,4.924075754015429,5.03511182406464,2.51755591203232,85.3871046830962,4.8740111239005115,0.40616759365837596,10.357273638288587
20,Egyptair,557699891,8,3,282,4,1,14,0.407359934669,0.420824403466,19.638652010538035,7.3644945039517635,692.2624833714658,9.505152189500283,2.3762880473750707,33.26803266325099
21,El Al,335448023,1,1,4,1,0,0,0.24502082022842855,0.25311949392657146,4.0812858232525615,4.0812858232525615,16.325143293010246,3.9507032211833293,0.0,0.0
22,Ethiopian Airlines,488560643,25,5,167,5,2,92,0.3568586525227143,0.36865390233228573,70.05574846867061,14.011149693734122,467.9723997707197,13.562856566463946,5.425142626585578,249.55656082293663
23,Finnair,506464950,1,0,0,0,0,0,0.3699364699071429,0.38216398084285713,2.703166844434149,0.0,0.0,0.0,0.0,0.0
24,Garuda Indonesia,613356665,10,3,260,4,2,22,0.4480132325921429,0.4628214149328571,22.320769282062,6.696230784618599,580.340001333612,8.642642433864673,4.321321216932336,47.5345333862557
25,Gulf Air,301379762,1,0,0,3,1,143,0.22013638901514285,0.22741255755485715,4.542638336505155,0.0,0.0,13.191883650824035,4.397294550274679,628.813120689279
26,Hawaiian Airlines,493877795,0,0,0,1,0,0,0.3607424522621429,0.3726660733128571,0.0,0.0,0.0,2.683367420893421,0.0,0.0
27,Iberia,1173203126,4,1,148,5,0,0,0.8569410833197142,0.8852655587902858,4.667765471698886,1.1669413679247216,172.7073224528588,5.648022732108197,0.0,0.0
28,Japan Airlines,1574217531,3,1,520,0,0,0,1.1498534622861427,1.187859571248857,2.609028105229504,0.8696760350765014,452.2315382397807,0.0,0.0,0.0
29,Kenya Airways,277414794,2,0,0,2,2,283,0.20263169167457143,0.20932927741542856,9.870124379221096,0.0,0.0,9.554325246300165,9.554325246300165,1351.9370223514734
30,KLM*,1874561773,7,1,3,1,0,0,1.369233477907,1.414490754998,5.11234943707347,0.7303356338676386,2.1910069016029157,0.7069682120343119,0.0,0.0
31,Korean Air,1734522605,12,5,425,1,0,0,1.2669448684807143,1.3088211999442856,9.471603933634517,3.9465016390143823,335.4526393162225,0.7640463036834736,0.0,0.0
32,LAN Airlines,1001965891,3,2,21,0,0,0,0.7318645143832858,0.7560548337517142,4.099119360265725,2.73274624017715,28.693835521860073,0.0,0.0,0.0
33,Lufthansa*,3426529504,6,1,2,3,0,0,2.5028350505645713,2.5855612628754288,2.397281434366425,0.39954690572773754,0.7990938114554751,1.1602896605372521,0.0,0.0
34,Malaysia Airlines,1039171244,3,1,34,3,2,537,0.7590403672245715,0.7841289301154286,3.9523589647405575,1.3174529882468526,44.79340160039299,3.825901436334432,2.5506009575562882,684.8363571038634
35,Pakistan International,348563137,8,3,234,10,2,46,0.25460047421157145,0.2630157842334286,31.421779652115056,11.783167369543147,919.0870548243654,38.020531844297686,7.6041063688595365,174.89444648376934
36,Philippine Airlines,413007158,7,4,74,2,1,1,0.3016722284077143,0.31164340122228573,23.20399208421466,13.259424048122664,245.29934489026928,6.4175913629355525,3.2087956814677763,3.2087956814677763
37,Qantas*,1917428984,1,0,0,5,0,0,1.4005449135988572,1.446837127641143,0.7140078053122823,0.0,0.0,3.455813999017133,0.0,0.0
38,Royal Air Maroc,295705339,5,3,51,3,0,0,0.21599162832957144,0.22313080008542857,23.14904535267791,13.889427211606746,236.12026259731468,13.445028650690135,0.0,0.0
39,SAS*,682971852,5,0,0,6,1,110,0.4988621541822857,0.5153510460377143,10.022808822200181,0.0,0.0,11.64254937703359,1.940424896172265,213.44673857894915
40,Saudi Arabian,859673901,7,2,313,11,0,0,0.6279303794018571,0.6486853635831428,11.147732662127188,3.1850664748934823,498.46290332083,16.95737350884458,0.0,0.0
41,Singapore Airlines,2376857805,2,2,6,2,1,83,1.736124850995,1.79350898943,1.1519908829447196,1.1519908829447196,3.455972648834159,1.1151324090299795,0.5575662045149897,46.277994974744146
42,South African,651502442,2,1,159,1,0,0,0.4758759979922857,0.4916051283777143,4.202775530680204,2.101387765340102,334.12065468907616,2.034152904995066,0.0,0.0
43,Southwest Airlines,3276525770,1,0,0,8,0,0,2.39326803743,2.47237273102,0.41783869769716453,0.0,0.0,3.235758063348129,0.0,0.0
44,Sri Lankan / AirLanka,325582976,2,1,14,4,0,0,0.23781510804114286,0.24567561131885715,8.409894629797838,4.204947314898919,58.869262408584866,16.28163242792743,0.0,0.0
45,SWISS*,792601299,2,1,229,3,0,0,0.578938634541,0.598074294474,3.454597569888664,1.727298784944332,395.551421752252,5.016099216634061,0.0,0.0
46,TACA,259373346,3,1,3,1,1,3,0.18945370258542857,0.19571571622457143,15.835003270243496,5.278334423414498,15.835003270243496,5.109451705209832,5.109451705209832,15.328355115629495
47,TAM,1509195646,8,3,98,7,2,188,1.102359619714,1.138795914596,7.257159874992108,2.7214349531220408,88.90020846865332,6.146843266893282,1.7562409333980806,165.0866477394196
48,TAP - Air Portugal,619130754,0,0,0,0,0,0,0.4522307921717143,0.4671783775182857,0.0,0.0,0.0,0.0,0.0,0.0
49,Thai Airways,1702802250,8,4,308,2,1,1,1.2437754148928573,1.2848859263571428,6.432029371387072,3.216014685693536,247.6331307984023,1.556558414232398,0.778279207116199,0.778279207116199
50,Turkish Airlines,1946098294,8,3,64,8,2,84,1.421485796746,1.468470169844,5.627914129225373,2.110467798459515,45.023313033802985,5.447846448831756,1.361961612207939,57.20238771273343
51,United / Continental*,7139291291,19,8,319,14,2,109,5.2147423386975715,5.387105228437429,3.6435165471177275,1.534112230365359,61.17272518581869,2.598798316783726,0.3712569023976751,20.233501180673294
52,US Airways / America West*,2455687887,16,7,224,11,2,23,1.7937045951758572,1.852991917019143,8.920086419487228,3.902537808525662,124.88120987282119,5.936345376883994,1.0793355230698172,12.412358515302898
53,Vietnam Airlines,625084918,7,3,171,1,0,0,0.4565798836762857,0.47167121955371427,15.33138066363648,6.570591712987063,374.52372764026256,2.1201208777295752,0.0,0.0
54,Virgin Atlantic,1005248585,1,0,0,0,0,0,0.7342622878721429,0.7585318608528572,1.3619111542524571,0.0,0.0,0.0,0.0,0.0
55,Xiamen Airlines,430462962,9,1,82,2,0,0,0.3144224463865714,0.3248150521834286,28.623910612713747,3.1804345125237496,260.79563002694744,6.157350118339238,0.0,0.0
