year,rate,Norm
1999,132,1
1966,57.787,0.437780303
1967,57.754,0.437530303
1965,57.743,0.43744697
1968,57.658,0.43680303
1964,57.611,0.43644697
1969,57.518,0.435742424
1963,57.396,0.434818182
1970,57.353,0.434492424
1975,57.346,0.434439394
1976,57.303,0.434113636
1974,57.216,0.433454545
1971,57.19,0.433257576
1962,57.11,0.432651515
1977,57.044,0.432151515
1972,57.044,0.432151515
1973,56.993,0.431765152
1973,56.93,0.431287879
1974,56.853,0.430704545
1975,56.812,0.430393939
1976,56.8,0.43030303
1977,56.796,0.430272727
1978,56.786,0.43019697
1979,56.762,0.430015152
1961,56.759,0.429992424
1972,56.743,0.429871212
1980,56.72,0.42969697
1981,56.66,0.429242424
1982,56.585,0.428674242
1978,56.56,0.428484848
1983,56.5,0.428030303
1971,56.499,0.428022727
1984,56.404,0.42730303
1974,56.366,0.427015152
1975,56.365,0.427007576
1960,56.358,0.426954545
1976,56.343,0.426840909
1973,56.329,0.426734848
1977,56.314,0.426621212
1985,56.3,0.426515152
1978,56.281,0.426371212
1970,56.279,0.426356061
1972,56.246,0.426106061
1979,56.24,0.426060606
1986,56.189,0.425674242
1980,56.178,0.425590909
1971,56.119,0.425143939
1969,56.085,0.424886364
1981,56.079,0.424840909
1987,56.073,0.424795455
1970,55.951,0.423871212
1988,55.95,0.423863636
1982,55.922,0.423651515
1968,55.896,0.423454545
1979,55.872,0.423272727
1989,55.818,0.422863636
1969,55.749,0.422340909
1967,55.697,0.42194697
1983,55.688,0.421878788
1990,55.677,0.421795455
1968,55.53,0.420681818
1991,55.523,0.420628788
1966,55.488,0.420363636
1984,55.363,0.419416667
1992,55.353,0.419340909
1967,55.31,0.419015152
1982,55.283,0.418810606
1965,55.265,0.418674242
1981,55.177,0.418007576
1993,55.164,0.417909091
1983,55.145,0.417765152
1966,55.1,0.417424242
1980,55.041,0.416977273
1964,55.024,0.416848485
1994,54.953,0.416310606
1985,54.934,0.416166667
1965,54.914,0.416015152
1980,54.886,0.41580303
1960,54.796,0.415121212
1963,54.766,0.414893939
1964,54.761,0.414856061
1984,54.723,0.414568182
1995,54.706,0.414439394
1963,54.645,0.413977273
1961,54.574,0.413439394
1962,54.563,0.413356061
1961,54.516,0.413
1960,54.501,0.412886364
1962,54.493,0.412825758
1979,54.476,0.41269697
1960,54.432,0.412363636
1996,54.401,0.412128788
1961,54.394,0.412075758
1986,54.394,0.412075758
1962,54.317,0.411492424
1961,54.21,0.410681818
1963,54.199,0.410598485
1962,54.176,0.410424242
1981,54.154,0.410257576
1997,54.042,0.409409091
1964,54.04,0.409393939
1978,54.02,0.409242424
1985,53.949,0.408704545
1960,53.923,0.408507576
1965,53.836,0.407848485
1987,53.747,0.407174242
1998,53.645,0.406401515
1963,53.641,0.406371212
2007,53.624,0.406242424
1966,53.585,0.40594697
1977,53.582,0.405924242
1974,53.566,0.40580303
2008,53.536,0.405575758
2006,53.503,0.405325758
1973,53.439,0.404840909
1982,53.305,0.403825758
1967,53.296,0.403757576
2005,53.242,0.403348485
1964,53.237,0.403310606
1963,53.236,0.40330303
1999,53.235,0.403295455
1965,53.21,0.403106061
1976,53.209,0.403098485
1962,53.206,0.403075758
1966,53.155,0.402689394
1961,53.145,0.402613636
1965,53.126,0.402469697
1966,53.088,0.402181818
1967,53.07,0.402045455
1960,53.053,0.401916667
1988,53.005,0.40155303
1964,53.002,0.401530303
1968,52.984,0.401393939
1968,52.955,0.401174242
2004,52.936,0.401030303
1975,52.932,0.401
1987,52.918,0.400893939
1964,52.911,0.400840909
1986,52.907,0.400810606
1988,52.903,0.400780303
1960,52.895,0.400719697
1961,52.889,0.400674242
1985,52.88,0.400606061
2000,52.878,0.400590909
1967,52.877,0.400583333
1962,52.866,0.4005
1989,52.847,0.400356061
1984,52.841,0.400310606
1963,52.832,0.400242424
1969,52.809,0.400068182
1964,52.796,0.399969697
1983,52.789,0.399916667
1986,52.766,0.399742424
1965,52.758,0.399681818
1974,52.757,0.399674242
1990,52.722,0.399409091
1982,52.721,0.399401515
1966,52.717,0.399371212
2003,52.693,0.399189394
1967,52.672,0.399030303
1969,52.668,0.399
1973,52.651,0.398871212
2001,52.649,0.398856061
1981,52.644,0.398818182
1970,52.635,0.39875
1968,52.627,0.398689394
1969,52.588,0.398393939
2002,52.587,0.398386364
1972,52.587,0.398386364
1983,52.568,0.398242424
1970,52.563,0.398204545
1971,52.56,0.398181818
1968,52.556,0.398151515
1980,52.554,0.398136364
1991,52.49,0.397651515
1975,52.461,0.397431818
1979,52.444,0.39730303
1971,52.437,0.39725
1963,52.416,0.397090909
1970,52.376,0.396787879
1978,52.314,0.396318182
1965,52.249,0.395825758
1972,52.216,0.395575758
1962,52.208,0.395515152
1961,52.206,0.3955
1963,52.204,0.395484848
1960,52.201,0.395462121
1964,52.192,0.395393939
1989,52.174,0.395257576
1977,52.172,0.395242424
1965,52.168,0.395212121
1969,52.146,0.395045455
1992,52.141,0.395007576
1971,52.137,0.394977273
1966,52.13,0.394924242
1967,52.076,0.394515152
1976,52.033,0.394189394
1968,52.006,0.393984848
1972,51.99,0.393863636
1984,51.972,0.393727273
1972,51.967,0.393689394
1973,51.966,0.393681818
1969,51.92,0.393333333
1975,51.92,0.393333333
1973,51.875,0.392992424
1974,51.861,0.392886364
1970,51.816,0.392545455
1995,51.804,0.392454545
1994,51.802,0.392439394
1993,51.76,0.392121212
1996,51.754,0.392075758
1960,51.692,0.391606061
1971,51.691,0.391598485
1992,51.69,0.391590909
1974,51.681,0.391522727
1993,51.679,0.391507576
1962,51.658,0.391348485
1997,51.646,0.391257576
1970,51.645,0.39125
1991,51.603,0.390931818
1972,51.548,0.390515152
1985,51.525,0.390340909
1990,51.51,0.390227273
1998,51.472,0.389939394
1960,51.47,0.389924242
1960,51.429,0.389613636
1989,51.417,0.389522727
1973,51.395,0.389356061
1966,51.351,0.389022727
1975,51.348,0.389
1988,51.325,0.388825758
1960,51.256,0.38830303
1990,51.255,0.388295455
1974,51.239,0.388174242
1961,51.238,0.388166667
1987,51.237,0.388159091
1999,51.229,0.388098485
1987,51.219,0.388022727
1962,51.216,0.388
1986,51.197,0.387856061
1963,51.195,0.387840909
1961,51.184,0.387757576
1986,51.156,0.387545455
1961,51.154,0.387530303
1984,51.147,0.387477273
1994,51.123,0.387295455
1964,51.112,0.387212121
1960,51.109,0.387189394
1975,51.092,0.387060606
1985,51.084,0.387
1962,51.082,0.386984848
1962,51.043,0.386689394
1961,51.041,0.386674242
1971,51.033,0.386613636
1984,51.016,0.386484848
1976,50.967,0.386113636
1963,50.961,0.386068182
1965,50.957,0.386037879
1976,50.953,0.386007576
1983,50.951,0.385992424
1963,50.931,0.385840909
1987,50.926,0.38580303
2000,50.903,0.385628788
1970,50.901,0.385613636
1969,50.897,0.385583333
1982,50.888,0.385515152
1964,50.875,0.385416667
1977,50.871,0.385386364
1981,50.833,0.385098485
1964,50.831,0.385083333
1971,50.829,0.385068182
1964,50.825,0.385037879
1965,50.813,0.38494697
1978,50.81,0.384924242
1963,50.81,0.384924242
1968,50.808,0.384909091
1980,50.795,0.384810606
1979,50.786,0.384742424
1974,50.78,0.38469697
1975,50.768,0.384606061
1972,50.765,0.384583333
1966,50.764,0.384575758
1971,50.762,0.384560606
1965,50.738,0.384378788
1970,50.733,0.384340909
1973,50.728,0.38430303
1966,50.723,0.384265152
1967,50.716,0.384212121
1972,50.699,0.384083333
1960,50.698,0.384075758
1985,50.698,0.384075758
1969,50.696,0.384060606
1965,50.69,0.384015152
1961,50.688,0.384
1973,50.688,0.384
1966,50.683,0.383962121
1968,50.667,0.383840909
1962,50.667,0.383840909
1968,50.662,0.38380303
1967,50.66,0.383787879
1988,50.657,0.383765152
1960,50.645,0.383674242
1974,50.643,0.383659091
1967,50.636,0.383606061
1969,50.597,0.383310606
1972,50.596,0.38330303
1961,50.584,0.383212121
1961,50.55,0.382954545
1970,50.545,0.382916667
1971,50.542,0.382893939
1983,50.535,0.382840909
1976,50.529,0.382795455
1973,50.527,0.382780303
1995,50.522,0.382742424
1975,50.51,0.382651515
2001,50.486,0.382469697
1977,50.485,0.382462121
1962,50.461,0.382280303
1960,50.456,0.382242424
1976,50.442,0.382136364
1962,50.427,0.382022727
1967,50.414,0.381924242
1961,50.405,0.381856061
1960,50.4,0.381818182
1966,50.392,0.381757576
1963,50.377,0.381643939
1989,50.369,0.381583333
1961,50.355,0.381477273
1976,50.337,0.381340909
1966,50.329,0.381280303
1974,50.318,0.38119697
1961,50.307,0.381113636
1967,50.306,0.381106061
1972,50.298,0.381045455
1964,50.297,0.381037879
1962,50.283,0.380931818
1960,50.278,0.380893939
1991,50.25,0.380681818
1963,50.224,0.380484848
1965,50.222,0.380469697
1962,50.16,0.38
1966,50.154,0.379954545
1960,50.146,0.379893939
1977,50.135,0.379810606
1965,50.103,0.379568182
1967,50.088,0.379454545
1975,50.072,0.379333333
1990,50.052,0.379181818
1968,50.039,0.379083333
1968,50.021,0.37894697
1960,50.016,0.378909091
1977,49.999,0.378780303
2002,49.984,0.378666667
1964,49.98,0.378636364
1961,49.979,0.378628788
1963,49.948,0.378393939
1969,49.945,0.378371212
1978,49.943,0.378356061
